United States Power Source,Energy Production (Thousand Megawatthours)
All Fuels (Utility-Scale),348128.0
Coal,171660.0
Petroleum Liquids,3073.0
Petroleum Coke,1038.0
Natural Gas,66847.0
Other Gases,275.0
Nuclear,72569.0
Conventional Hydroelectric,22207.0
Other Renewables,10480.0
Wind,6853.0
All Utility-Scale Solar,10.0
Utility-Scale Photovoltaic,6.0
Utility-Scale Thermal,4.0
Geothermal,1312.0
Biomass,2305.0
Hydro-Electric Pumped Storage,-565.0
Other,543.0
All Solar,0.0
Small-Scale Solar Photovoltaic,0.0
All Utility-Scale Solar,10.0
Utility-Scale Photovoltaic,6.0
Utility-Scale Thermal,4.0
All Fuels (Utility-Scale),307994.0
Coal,151461.0
Petroleum Liquids,1156.0
Petroleum Coke,1010.0
Natural Gas,59556.0
Other Gases,247.0
Nuclear,65245.0
Conventional Hydroelectric,20421.0
Other Renewables,8756.0
Wind,5431.0
All Utility-Scale Solar,33.0
Utility-Scale Photovoltaic,11.0
Utility-Scale Thermal,22.0
Geothermal,1159.0
Biomass,2133.0
Hydro-Electric Pumped Storage,-351.0
Other,492.0
All Solar,0.0
Small-Scale Solar Photovoltaic,0.0
All Utility-Scale Solar,33.0
Utility-Scale Photovoltaic,11.0
Utility-Scale Thermal,22.0
All Fuels (Utility-Scale),299571.0
Coal,142665.0
Petroleum Liquids,1202.0
Petroleum Coke,1097.0
Natural Gas,56492.0
Other Gases,275.0
Nuclear,64635.0
Conventional Hydroelectric,20691.0
Other Renewables,12300.0
Wind,8588.0
All Utility-Scale Solar,76.0
Utility-Scale Photovoltaic,21.0
Utility-Scale Thermal,55.0
Geothermal,1307.0
Biomass,2330.0
Hydro-Electric Pumped Storage,-325.0
Other,539.0
All Solar,0.0
Small-Scale Solar Photovoltaic,0.0
All Utility-Scale Solar,76.0
Utility-Scale Photovoltaic,21.0
Utility-Scale Thermal,55.0
All Fuels (Utility-Scale),276121.0
Coal,125615.0
Petroleum Liquids,1151.0
Petroleum Coke,958.0
Natural Gas,58124.0
Other Gases,273.0
Nuclear,57611.0
Conventional Hydroelectric,18898.0
Other Renewables,13286.0
Wind,9763.0
All Utility-Scale Solar,112.0
Utility-Scale Photovoltaic,34.0
Utility-Scale Thermal,78.0
Geothermal,1240.0
Biomass,2171.0
Hydro-Electric Pumped Storage,-335.0
Other,541.0
All Solar,0.0
