"List of plants for all fuels, United States, all sectors"
"https://www.eia.gov/electricity/data/browser/#/topic/1?agg=2,0,1&fuel=g&geo=g&sec=g&freq=A&datecode=2020&rtype=s&start=200101&end=202106&chartindexed=2&ctype=linechart&ltype=pin&pin=&rse=0&maptype=0"
"Fri Sep 24 2021 11:31:46 GMT-0700 (PDT)"
"Source: U.S. Energy Information Administration"
"Plant Name","Plant Code","State","Sector Name","Prime Movers","Fuel Types"
"10 Finderne Avenue Solar, LLC",64023,"NJ","Electric utility non-cogen","PV","SUN"
"100 Brook Hill Drive Solar",63292,"NY","Commercial non-cogen","PV","SUN"
"101 Carnegie Center Solar, LLC",64025,"NJ","Electric utility non-cogen","PV","SUN"
"1025 Traveller Solar, LLC",62660,"NC","Electric utility non-cogen","PV","SUN"
"1047 Little Mountain Solar, LLC",62661,"NC","Electric utility non-cogen","PV","SUN"
"12 Applegate Solar LLC",59371,"NJ","Electric utility non-cogen","PV","SUN"
"126 Grove Solar LLC",60858,"MA","Electric utility non-cogen","PV","SUN"
"1420 Coil Av #C",57310,"CA","Commercial non-cogen","PV","SUN"
"145 Talmadge Solar",57458,"NJ","Electric utility non-cogen","PV","SUN"
"1515 S Caron Road",7770,"IL","Electric utility","GT","NG"
"158th Fighter Wing Solar Farm",60542,"VT","Electric utility non-cogen","PV","SUN"
"180 Raritan Solar",58187,"NJ","Electric utility non-cogen","PV","SUN"
"201 Sturbridge B",59822,"MA","Electric utility non-cogen","PV","SUN"
"205 Sturbridge A",59821,"MA","Electric utility non-cogen","PV","SUN"
"2081 Terzian Solar Project",58918,"CA","Electric utility non-cogen","PV","SUN"
"2097 Helton Solar Project",58920,"CA","Electric utility non-cogen","PV","SUN"
"2127 Harris Solar Project",58919,"CA","Electric utility non-cogen","PV","SUN"
"231 Dixon 74 Solar I, LLC",61195,"NC","Electric utility non-cogen","PV","SUN"
"232 Long Branch 29 Solar I, LLC",63296,"NC","Electric utility non-cogen","PV","SUN"
"24 Applegate Solar LLC",59365,"NJ","Electric utility non-cogen","PV","SUN"
"25 Ashdown Road Solar, LLC",62998,"NY","Electric utility non-cogen","PV","SUN"
"2555 E Olympic Bl",57871,"CA","Commercial non-cogen","PV","SUN"
"265 Pleasant Solar NG, LLC",59485,"MA","Electric utility non-cogen","PV","SUN"
"2662 Freeport Solar 1 CSG",64058,"IL","Electric utility non-cogen","PV","SUN"
"28 Livermore Hill Road Solar",64014,"MA","Electric utility non-cogen","PV","SUN"
"301 Chestnut Solar NG",61518,"MA","Electric utility non-cogen","PV","SUN"
"315 Vinson Road",63979,"NC","Electric utility non-cogen","PV","SUN"
"350 Clark Solar, NG, LLC",61224,"NJ","Electric utility non-cogen","PV","SUN"
"4 Applegate Solar LLC",59370,"NJ","Electric utility non-cogen","PV","SUN"
"433 Purchase Solar NG, LLC",61237,"MA","Electric utility non-cogen","PV","SUN"
"435A Bergen Avenue",63366,"NJ","Commercial non-cogen","PV","SUN"
"45 Mile Hydroelectric Project",58455,"OR","Electric utility non-cogen","HY","WAT"
"46 Meadowlands Parkway",62325,"NJ","Commercial non-cogen","PV","SUN"
"4710 Hosting",62162,"MN","Commercial non-cogen","IC","DFO"
"491 E 48th Street",7268,"MI","Electric utility","GT","NG"
"4Oaks",59534,"NC","Electric utility non-cogen","PV","SUN"
"500 Virginia Solar",57640,"PA","Electric utility non-cogen","PV","SUN"
"500MW CC",56196,"NY","Electric utility","CA,CT","NG,DFO"
"510 Carnegie Center",64194,"NJ","Electric utility non-cogen","PV","SUN"
"510 REPP One",57363,"NC","Electric utility non-cogen","PV","SUN"
"59th Street",2503,"NY","Electric utility","GT","NG"
"6140 Route 209 - North",64046,"NY","Electric utility non-cogen","PV","SUN"
"631 Owner Turbine",59639,"MA","Industrial non-cogen","WT","WND"
"651 Chase Solar NG",59046,"MA","Electric utility non-cogen","PV","SUN"
"6685 Santa Barbara Ct",64343,"MD","Electric utility non-cogen","PV","SUN"
"701 Carnegie Center",64195,"NJ","Electric utility non-cogen","PV","SUN"
"74th Street",2504,"NY","Electric utility","GT","KER"
"77 Metro Way",62326,"NJ","Commercial non-cogen","PV","SUN"
"85 A",52162,"CA","Electric utility non-cogen","WT","WND"
"85 B",52163,"CA","Electric utility non-cogen","WT","WND"
"99 Islands",3272,"SC","Electric utility","HY","WAT"
"A B Brown",6137,"IN","Electric utility","GT,ST","NG,DFO,BIT"
"A G Wishon",293,"CA","Electric utility","HY","WAT"
"A L Pierce",6635,"CT","Electric utility","GT","NG,DFO"
"A Street 1",64114,"RI","Electric utility non-cogen","PV","SUN"
"A Street 2",64111,"RI","Electric utility non-cogen","PV","SUN"
