Year,CA Large Hydro,CA Small Hydro,CA Nuclear,CA Coal,CA Oil,CA Natural Gas,CA Geothermal,CA Biomass,CA Wind,CA Solar PV,CA Solar Thermal,CA Petroleum Coke,CA Waste Heat
2011,35682,7055,36666,2096,36,91063,12685,6060,7598,226,889,1024,267
2012,22737,4724,18491,1262,48,121777,12733,6211,9242,1018,867,318,217
2013,20319,3782,17860,824,38,120863,12510,6559,11964,3772,686,194,222
2014,13739,2742,17027,802,45,121855,12186,6785,13104,9148,1624,208,237
2015,11569,2427,18525,309,54,117565,11994,6367,12191,13057,2446,229,177
2016,24410,4576,18931,324,37,98879,11582,5905,13499,17385,2548,207,182
2017,36920,6384,17925,302,33,89588,11745,5847,12867,21895,2464,246,163
2018,22096,4248,18268,294,35,90691,11528,5909,14244,24721,2545,207,223
2019,33145,5349,16163,250,36,86134,10967,5936,13688,26323,2302,191,220
2020,17938,3476,16280,317,30,92298,11345,5680,13708,27179,2277,197,187
