"Plant Name","Plant Code","State","Sector Name","Prime Movers","Fuel Types"
"1420 Coil Av #C",57310,"CA","Commercial non-cogen","PV","SUN"
"145 Talmadge Solar",57458,"NJ","Electric utility non-cogen","PV","SUN"
"1515 S Caron Road",7770,"IL","Electric utility","GT","NG"
"491 E 48th Street",7268,"MI","Electric utility","GT","NG"
"500 Virginia Solar",57640,"PA","Electric utility non-cogen","PV","SUN"
"500MW CC",56196,"NY","Electric utility","CA,CT","KER,NG"
"59th Street",2503,"NY","Electric utility","GT","KER"
"74th Street",2504,"NY","Electric utility","GT","KER"
"85 A",52162,"CA","Electric utility non-cogen","WT","WND"
"85 B",52163,"CA","Electric utility non-cogen","WT","WND"
"99 Islands",3272,"SC","Electric utility","HY","WAT"
"A B Brown",6137,"IN","Electric utility","GT,ST","NG,BIT"
"A G Wishon",293,"CA","Electric utility","HY","WAT"
"A L Pierce",6635,"CT","Electric utility","GT","NG,DFO"
"ABC Coke",56076,"AL","Industrial cogen","ST","NG,OG"
"AC Landfill Energy LLC",57845,"NJ","Commercial non-cogen","IC","LFG"
"ACE Cogeneration Facility",10002,"CA","Electric utility cogen","ST","NG,BIT"
"AD Srvcs Glacier Ridge Landfill, LLC",55817,"WI","Commercial non-cogen","IC","LFG"
"ADA Carbon Solutions Red River",57938,"LA","Industrial cogen","ST","WH"
"AES Alamitos LLC",315,"CA","Electric utility non-cogen","ST","NG"
"AES Beaver Valley Partners Beaver Valley",10676,"PA","Electric utility cogen","ST","BIT,DFO"
"AES Deepwater",10670,"TX","Electric utility non-cogen","ST","NG,PC"
"AES Hawaii",10673,"HI","Electric utility cogen","ST","BIT,DFO,WO"
"AES Huntington Beach LLC",335,"CA","Electric utility non-cogen","ST","NG"
"AES Petersburg",994,"IN","Electric utility","IC,ST","DFO,BIT"
"AES Redondo Beach LLC",356,"CA","Electric utility non-cogen","ST","NG"
"AES Thames",10675,"CT","Electric utility cogen","ST","BIT,DFO"
"AES Warrior Run Cogeneration Facility",10678,"MD","Electric utility cogen","ST","WDS,BIT,DFO,WC"
"AFA Solar Farm",57554,"CO","Electric utility non-cogen","PV","SUN"
"AG Processing Inc",10223,"IA","Industrial cogen","ST","SUB"
"AL Sandersville LLC",55672,"GA","Electric utility non-cogen","GT","NG"
"AMEA Peaking",56018,"AL","Electric utility","GT","NG"
"ANP Bellingham Energy Project",55211,"MA","Electric utility non-cogen","CS","NG"
"ANP Blackstone Energy Project",55212,"MA","Electric utility non-cogen","CS","NG"
"Abbott TP 3",3581,"TX","Electric utility","HY","WAT"
"Aberdeen CT",3338,"SD","Electric utility","GT","DFO"
"Abilene Energy Center Combustion Turbine",1251,"KS","Electric utility","GT","NG"
"Abiquiu Dam",7789,"NM","Electric utility","HY","WAT"
"Acadia Energy Center",55173,"LA","Electric utility non-cogen","CA,CT","NG"
"Ada Cogeneration LP",10819,"MI","Electric utility cogen","CA,CT","NG"
"Ada Dam",50433,"MI","Electric utility non-cogen","HY","WAT"
"Adair Wind Farm",56810,"IA","Electric utility","WT","WND"
"Adams Wind Farm",56307,"MN","Electric utility non-cogen","WT","WND"
"Adams Wind Generations LLC",57375,"MN","Electric utility non-cogen","WT","WND"
"Adobe San Jose",57811,"CA","Electric utility non-cogen","FC","NG"
"Adrian",1956,"MN","Electric utility","IC","DFO"
"Adrian Energy Associates LLC",54903,"MI","Electric utility non-cogen","IC","LFG"
"Aeolus Wind Facility",56225,"TX","Electric utility non-cogen","WT","WND"
"Aera San Ardo Cogen Facility",55184,"CA","Industrial cogen","GT","NG"
"Aerojet I",57697,"CA","Electric utility non-cogen","PV","SUN"
"Aerojet II",57698,"CA","Electric utility non-cogen","PV","SUN"
"Aeroturbine",56214,"CA","Electric utility non-cogen","WT","WND"
"Afton Generating Station",55210,"NM","Electric utility","CT","NG"
"Agassiz Beach LLC",55576,"MN","Electric utility non-cogen","WT","WND"
"Agnews Power Plant",50748,"CA","Electric utility cogen","CA,CT","NG"
"Agrilectric Power Partners Ltd",10593,"LA","Electric utility non-cogen","ST","NG,AB"
"Agriwind",56408,"IL","Electric utility non-cogen","WT","WND"
"Agua Fria",141,"AZ","Electric utility","GT,PV,ST","NG,DFO,SUN"
"Agua Mansa Power Plant",55951,"CA","Electric utility","GT","NG"
"Aidlin Geothermal Power Plant",52158,"CA","Electric utility non-cogen","ST","GEO"
"Ainsworth Wind",56162,"NE","Electric utility","WT","WND"
"Air Products Port Arthur",55309,"TX","Industrial cogen","CA,CT","NG,OG"
"Airport Industrial",7995,"CO","Electric utility","IC","DFO"
"Al Turi",10549,"NY","Electric utility non-cogen","IC","LFG"
"Alabama Pine Pulp",54429,"AL","Industrial cogen","ST","WDS,NG,BLQ,DFO"
"Alabama River Pulp",10216,"AL","Industrial cogen","ST","WDS,NG,BLQ,DFO"
"Alakanuk",57053,"AK","Electric utility","IC","JF"
"Alameda",7450,"CA","Electric utility","GT","NG"
"Alamo",905,"CA","Electric utility","HY","WAT"
"Alamogordo Solar Energy Center",57577,"NM","Electric utility non-cogen","PV","SUN"
"Alamosa",464,"CO","Electric utility","GT","NG,DFO"
"Albany",2113,"MO","Electric utility","IC","DFO"
"Albemarle Hospital Unit",56339,"NC","Electric utility","IC","DFO"
"Albemarle Prime Power Park",56263,"NC","Electric utility","IC","DFO"
